window size, average # of foreign window, total # of windows
259, 520.000000, 2083
260, 517.850000, 2077
261, 515.900000, 2068
262, 514.150000, 2061
263, 512.300000, 2050
264, 510.200000, 2039
265, 508.200000, 2040
266, 506.400000, 2027
267, 504.700000, 2021
268, 502.500000, 2016
269, 501.000000, 2008
270, 499.150000, 1999
271, 497.300000, 1997
272, 495.250000, 1984
273, 493.550000, 1976
274, 491.650000, 1973
275, 489.950000, 1964
276, 488.150000, 1960
277, 486.400000, 1954
278, 484.750000, 1945
279, 483.200000, 1937
280, 481.300000, 1928
281, 479.700000, 1923
282, 477.800000, 1919
283, 476.250000, 1908
284, 474.600000, 1903
285, 472.950000, 1891
286, 471.200000, 1887
287, 469.550000, 1883
288, 467.800000, 1869
289, 466.300000, 1868
290, 464.400000, 1862
291, 463.350000, 1863
292, 461.650000, 1852
293, 459.950000, 1849
294, 458.500000, 1839
295, 457.050000, 1833
296, 455.400000, 1826
297, 453.700000, 1818
298, 452.250000, 1814
299, 450.900000, 1809
